"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"cwc.gov","cwc.gov","http://cwc.gov","Department of State","dotgov","No","No","No","","","","","","No"
"cyber.gov","cyber.gov","https://cyber.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cybercareers.gov","cybercareers.gov","https://www.cybercareers.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cybercrime.gov","cybercrime.gov","http://cybercrime.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"cybersecurity.gov","cybersecurity.gov","https://cybersecurity.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"data.gov","data.gov","https://www.data.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"dc3on.gov","dc3on.gov","http://dc3on.gov","Department of Defense","dotgov","","","","","","","","","No"
"dea.gov","dea.gov","https://www.dea.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"deaecom.gov","deaecom.gov","https://www.deaecom.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"defense.gov","defense.gov","https://www.defense.gov","Department of Defense","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"democraticleader.gov","democraticleader.gov","https://www.democraticleader.gov","The Legislative Branch","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"democraticwhip.gov","democraticwhip.gov","https://www.democraticwhip.gov","The Legislative Branch","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"dems.gov","dems.gov","https://www.dems.gov","The Legislative Branch","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"denali.gov","denali.gov","http://denali.gov","Denali Commission","dotgov","No","No","No","No","Yes","No","No","No","No"
"df.gov","df.gov","http://df.gov","Central Intelligence Agency","dotgov","No","No","No","","","","","","No"
"dfafacts.gov","dfafacts.gov","https://dfafacts.gov","U.S. Agency for International Development","dotgov","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Ready"
"dhhs.gov","dhhs.gov","https://dhhs.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"dhs.gov","dhs.gov","https://www.dhs.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"diabetescommittee.gov","diabetescommittee.gov","https://www.diabetescommittee.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"dietaryguidelines.gov","dietaryguidelines.gov","https://www.dietaryguidelines.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"digital.gov","digital.gov","https://digital.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"digitaldashboard.gov","digitaldashboard.gov","https://digitaldashboard.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"digitalgov.gov","digitalgov.gov","https://digitalgov.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"digitalliteracy.gov","digitalliteracy.gov","https://digitalliteracy.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"directoasucuenta.gov","directoasucuenta.gov","https://directoasucuenta.gov","Department of the Treasury","dotgov","No","Yes","Yes","No","Yes","Yes","No","No","No"
"disability.gov","disability.gov","https://disability.gov","Department of Labor","dotgov","No","No","No","","","","","","Yes"
"disasterassistance.gov","disasterassistance.gov","https://www.disasterassistance.gov","Department of Homeland Security","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"disasterhousing.gov","disasterhousing.gov","https://disasterhousing.gov","Department of Housing and Urban Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"distracteddriving.gov","distracteddriving.gov","https://www.distracteddriving.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"distraction.gov","distraction.gov","https://www.distraction.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"dnfsb.gov","dnfsb.gov","https://www.dnfsb.gov","Defense Nuclear Facilities Safety Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"dni.gov","dni.gov","https://www.dni.gov","Director of National Intelligence","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"dnsops.gov","dnsops.gov","https://dnsops.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"doc.gov","doc.gov","http://doc.gov","Department of Commerce","dotgov","No","No","No","","","","","","No"
"docline.gov","docline.gov","https://docline.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"dod.gov","dod.gov","http://www.dod.gov","Department of Defense","dotgov","No","No","No","","","","","","No"
"doe.gov","doe.gov","http://www.doe.gov","Department of Energy","dotgov","No","No","No","","","","","","No"
"doeal.gov","doeal.gov","http://doeal.gov","Department of Energy","dotgov","","","","","","","","","No"
"doi.gov","doi.gov","https://www.doi.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"doioig.gov","doioig.gov","https://www.doioig.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"dol-esa.gov","dol-esa.gov","http://dol-esa.gov","Department of Labor","dotgov","","","","","","","","","No"
"dol.gov","dol.gov","https://www.dol.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"doleta.gov","doleta.gov","https://doleta.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"donaciondeorganos.gov","donaciondeorganos.gov","https://donaciondeorganos.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"donotcall.gov","donotcall.gov","https://donotcall.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"dontserveteens.gov","dontserveteens.gov","http://dontserveteens.gov","Federal Trade Commission","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"dot.gov","dot.gov","https://www.dot.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"dotgov.gov","dotgov.gov","https://dotgov.gov","General Services Administration","dotgov","Yes","Yes","Yes","","","","","","Yes"
"dotideahub.gov","dotideahub.gov","https://www.dotideahub.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"dra.gov","dra.gov","http://dra.gov","Delta Regional Authority","dotgov","No","No","No","","","","","","No"
"drought.gov","drought.gov","https://www.drought.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"drugabuse.gov","drugabuse.gov","https://www.drugabuse.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"drugfreeworkplace.gov","drugfreeworkplace.gov","http://drugfreeworkplace.gov","Department of Health and Human Services","dotgov","","","","","","","","","No"
"drywallresponse.gov","drywallresponse.gov","https://drywallresponse.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"dsac.gov","dsac.gov","https://www.dsac.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"dtv.gov","dtv.gov","http://dtv.gov","Federal Communications Commission","dotgov","No","No","No","","","","","","No"
"e-enterprise.gov","e-enterprise.gov","http://e-enterprise.gov","Environmental Protection Agency","dotgov","No","No","Yes","Yes","No","No","No","No","No"
"e-verify.gov","e-verify.gov","https://www.e-verify.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"eac.gov","eac.gov","https://www.eac.gov","Election Assistance Commission","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"eaglecash.gov","eaglecash.gov","http://eaglecash.gov","Department of the Treasury","dotgov","No","No","No","","","","","","No"
"earmarks.gov","earmarks.gov","https://earmarks.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"earthquake.gov","earthquake.gov","https://www.earthquake.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"earthsystemprediction.gov","earthsystemprediction.gov","https://earthsystemprediction.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"economicinclusion.gov","economicinclusion.gov","https://economicinclusion.gov","Federal Deposit Insurance Corporation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"econsumer.gov","econsumer.gov","https://econsumer.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ecpic.gov","ecpic.gov","https://ecpic.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ecr.gov","ecr.gov","http://ecr.gov","Morris K. Udall and Stewart L. Udall Foundation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ed.gov","ed.gov","https://www.ed.gov","Department of Education","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"eda.gov","eda.gov","https://eda.gov","Department of Commerce","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"edison.gov","edison.gov","http://edison.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"edpubs.gov","edpubs.gov","http://edpubs.gov","Department of Education","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"eeoc.gov","eeoc.gov","https://www.eeoc.gov","Equal Employment Opportunity Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"eftps.gov","eftps.gov","https://www.eftps.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"eia.gov","eia.gov","https://www.eia.gov","Department of Energy","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"eisenhowermemorial.gov","eisenhowermemorial.gov","http://eisenhowermemorial.gov","Dwight D. Eisenhower Memorial Commission","dotgov","No","No","No","No","No","No","No","Yes","No"
"eldercare.gov","eldercare.gov","http://eldercare.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","No"
"elderjustice.gov","elderjustice.gov","http://elderjustice.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"emergency-federal-register.gov","emergency-federal-register.gov","https://emergency-federal-register.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"employeeexpress.gov","employeeexpress.gov","https://www.employeeexpress.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"employer.gov","employer.gov","https://employer.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"empowhr.gov","empowhr.gov","https://empowhr.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"ems.gov","ems.gov","https://www.ems.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"endingthedocumentgame.gov","endingthedocumentgame.gov","https://endingthedocumentgame.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"energy.gov","energy.gov","https://www.energy.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"energycodes.gov","energycodes.gov","https://www.energycodes.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"energysaver.gov","energysaver.gov","http://energysaver.gov","Department of Energy","dotgov","No","No","No","","","","","","No"
"energysavers.gov","energysavers.gov","http://energysavers.gov","Department of Energy","dotgov","No","No","No","","","","","","No"
"energystar.gov","energystar.gov","https://www.energystar.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"eop.gov","eop.gov","https://eop.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"epa.gov","epa.gov","https://www.epa.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"epic.gov","epic.gov","https://www.epic.gov","Department of Justice","dotgov","No","Yes","Yes","No","Yes","No","No","No","Ready"
"esa.gov","esa.gov","http://esa.gov","Department of Commerce","dotgov","No","No","No","No","Yes","No","No","No","No"
"esc.gov","esc.gov","https://esc.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"eseclab.gov","eseclab.gov","http://eseclab.gov","The Legislative Branch","dotgov","No","No","No","","","","","","No"
"esrs.gov","esrs.gov","https://esrs.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"eta-find.gov","eta-find.gov","https://eta-find.gov","Department of the Treasury","dotgov","No","Yes","Yes","No","Yes","Yes","No","No","No"
"ethicsburg.gov","ethicsburg.gov","https://www.ethicsburg.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"evergladesrestoration.gov","evergladesrestoration.gov","https://evergladesrestoration.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"everify.gov","everify.gov","https://everify.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","","","","","","No"
"everykidinapark.gov","everykidinapark.gov","https://everykidinapark.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"everytrycounts.gov","everytrycounts.gov","http://everytrycounts.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"evus.gov","evus.gov","https://www.evus.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"execsec.gov","execsec.gov","https://www.execsec.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"exim.gov","exim.gov","http://www.exim.gov","Export/Import Bank of the U.S.","dotgov","No","No","No","Yes","No","No","No","No","No"
"exploretsp.gov","exploretsp.gov","http://exploretsp.gov","Federal Retirement Thrift Investment Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"export.gov","export.gov","https://www.export.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"eyenote.gov","eyenote.gov","https://eyenote.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"faa.gov","faa.gov","https://www.faa.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"faasafety.gov","faasafety.gov","https://www.faasafety.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"faca.gov","faca.gov","https://faca.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"facadatabase.gov","facadatabase.gov","https://facadatabase.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"fafsa.gov","fafsa.gov","https://fafsa.gov","Department of Education","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fai.gov","fai.gov","https://www.fai.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fan.gov","fan.gov","https://www.fan.gov","Department of State","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fapiis.gov","fapiis.gov","https://www.fapiis.gov","General Services Administration","dotgov","No","No","No","","","","","","No"
"faq.gov","faq.gov","https://faq.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fara.gov","fara.gov","https://www.fara.gov","Department of Justice","dotgov","No","Yes","Yes","No","Yes","No","No","No","Yes"
"farmers.gov","farmers.gov","https://www.farmers.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fasab.gov","fasab.gov","http://fasab.gov","The Legislative Branch","dotgov","No","No","No","","","","","","No"
"fatherhood.gov","fatherhood.gov","https://www.fatherhood.gov","Department of Health and Human Services","dotgov","No","Yes","Yes","No","Yes","Yes","No","No","Yes"
"fbi.gov","fbi.gov","https://www.fbi.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"fbiic.gov","fbiic.gov","https://www.fbiic.gov","Federal Reserve Board of Governors","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fbijobs.gov","fbijobs.gov","https://fbijobs.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fbo.gov","fbo.gov","https://www.fbo.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fca.gov","fca.gov","https://fca.gov","Farm Credit Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fcc.gov","fcc.gov","https://www.fcc.gov","Federal Communications Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fcg.gov","fcg.gov","https://www.fcg.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fcic.gov","fcic.gov","http://fcic.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"fcsic.gov","fcsic.gov","https://www.fcsic.gov","Farm Credit Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fda.gov","fda.gov","https://www.fda.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fdic.gov","fdic.gov","https://www.fdic.gov","Federal Deposit Insurance Corporation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fdicconnect.gov","fdicconnect.gov","https://www.fdicconnect.gov","Federal Deposit Insurance Corporation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fdicig.gov","fdicig.gov","https://fdicig.gov","Federal Deposit Insurance Corporation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fdicoig.gov","fdicoig.gov","https://fdicoig.gov","Federal Deposit Insurance Corporation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fdicseguro.gov","fdicseguro.gov","https://www.fdicseguro.gov","Federal Deposit Insurance Corporation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fdms.gov","fdms.gov","https://www.fdms.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"fea.gov","fea.gov","http://www.fea.gov","Denali Commission","dotgov","No","No","No","","","","","","No"
"feb.gov","feb.gov","https://feb.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fec.gov","fec.gov","https://www.fec.gov","Federal Election Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fedbizopps.gov","fedbizopps.gov","https://fedbizopps.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fedcenter.gov","fedcenter.gov","https://www.fedcenter.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"federalcourts.gov","federalcourts.gov","http://www.federalcourts.gov","U.S. Courts","dotgov","No","No","No","","","","","","No"
"federalinvestments.gov","federalinvestments.gov","https://federalinvestments.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"federaljobs.gov","federaljobs.gov","https://federaljobs.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"federalprobation.gov","federalprobation.gov","http://www.federalprobation.gov","U.S. Courts","dotgov","No","No","No","","","","","","No"
"federalreserve.gov","federalreserve.gov","https://www.federalreserve.gov","Federal Reserve Board of Governors","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"federalreserveconsumerhelp.gov","federalreserveconsumerhelp.gov","https://federalreserveconsumerhelp.gov","Federal Reserve Board of Governors","dotgov","No","Yes","Yes","No","Yes","Yes","No","No","Yes"
"federalrules.gov","federalrules.gov","http://www.federalrules.gov","U.S. Courts","dotgov","No","No","No","","","","","","No"
"fedidcard.gov","fedidcard.gov","https://www.fedidcard.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fedinvest.gov","fedinvest.gov","https://fedinvest.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fedjobs.gov","fedjobs.gov","https://fedjobs.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fedpartnership.gov","fedpartnership.gov","https://fedpartnership.gov","Federal Reserve Board of Governors","dotgov","No","Yes","Yes","No","Yes","Yes","No","No","Yes"
"fedramp.gov","fedramp.gov","https://www.fedramp.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fedrooms.gov","fedrooms.gov","https://fedrooms.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fedshirevets.gov","fedshirevets.gov","https://fedshirevets.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"feedthefuture.gov","feedthefuture.gov","https://feedthefuture.gov","U.S. Agency for International Development","dotgov","No","Yes","Yes","No","Yes","No","No","No","Yes"
"fegli.gov","fegli.gov","https://fegli.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fema.gov","fema.gov","https://www.fema.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ferc.gov","ferc.gov","https://ferc.gov","Federal Energy Regulatory Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fercalt.gov","fercalt.gov","https://fercalt.gov","Federal Energy Regulatory Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"ffb.gov","ffb.gov","https://www.ffb.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ffiec.gov","ffiec.gov","https://www.ffiec.gov","Federal Reserve Board of Governors","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fgdc.gov","fgdc.gov","https://fgdc.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fha.gov","fha.gov","https://fha.gov","Department of Housing and Urban Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fhfa.gov","fhfa.gov","https://www.fhfa.gov","Federal Housing Finance Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fhfaoig.gov","fhfaoig.gov","https://www.fhfaoig.gov","Federal Housing Finance Agency, Office of Inspector General","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"financialresearch.gov","financialresearch.gov","https://www.financialresearch.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"financialstability.gov","financialstability.gov","http://www.financialstability.gov","Department of the Treasury","dotgov","No","No","No","","","","","","No"
"fincen.gov","fincen.gov","https://www.fincen.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"firecode.gov","firecode.gov","https://www.firecode.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fireleadership.gov","fireleadership.gov","https://fireleadership.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"firenet.gov","firenet.gov","http://www.firenet.gov","Department of the Interior","dotgov","No","No","No","","","","","","No"
"firescience.gov","firescience.gov","https://www.firescience.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"firstfreedom.gov","firstfreedom.gov","http://firstfreedom.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"firstgov.gov","firstgov.gov","https://firstgov.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"firstnet.gov","firstnet.gov","https://firstnet.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"firstresponder.gov","firstresponder.gov","https://firstresponder.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","","","","","","No"
"firstrespondertraining.gov","firstrespondertraining.gov","https://www.firstrespondertraining.gov","Department of Homeland Security","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"fishwatch.gov","fishwatch.gov","https://www.fishwatch.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fitness.gov","fitness.gov","https://www.fitness.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fjc.gov","fjc.gov","https://www.fjc.gov","U.S. Courts","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"fleta.gov","fleta.gov","https://www.fleta.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fletc.gov","fletc.gov","https://www.fletc.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"flightschoolcandidates.gov","flightschoolcandidates.gov","https://flightschoolcandidates.gov","Department of Homeland Security","dotgov","No","Yes","Yes","No","Yes","Yes","No","No","Yes"
"floodsmart.gov","floodsmart.gov","https://www.floodsmart.gov","Department of Homeland Security","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"flra.gov","flra.gov","https://www.flra.gov","Federal Labor Relations Authority","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"flu.gov","flu.gov","http://www.flu.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fmc.gov","fmc.gov","https://www.fmc.gov","Federal Maritime Commission","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"fmcs.gov","fmcs.gov","https://fmcs.gov","Federal Mediation and Conciliation Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"fmi.gov","fmi.gov","https://fmi.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fmshrc.gov","fmshrc.gov","http://fmshrc.gov","Federal Mine Safety and Health Review Commission","dotgov","No","No","No","No","Yes","No","No","No","No"
"fnal.gov","fnal.gov","http://fnal.gov","Department of Energy","dotgov","No","No","No","No","Yes","No","No","No","No"
"foia.gov","foia.gov","https://www.foia.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"foiaonline.gov","foiaonline.gov","http://foiaonline.gov","Environmental Protection Agency","dotgov","No","No","No","","","","","","Yes"
"foodsafety.gov","foodsafety.gov","https://www.foodsafety.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"foodsafetyjobs.gov","foodsafetyjobs.gov","https://foodsafetyjobs.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fordlibrarymuseum.gov","fordlibrarymuseum.gov","https://www.fordlibrarymuseum.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"foreignassistance.gov","foreignassistance.gov","https://foreignassistance.gov","Department of State","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"forestsandrangelands.gov","forestsandrangelands.gov","https://forestsandrangelands.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"forfeiture.gov","forfeiture.gov","https://www.forfeiture.gov","Department of Justice","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"forms.gov","forms.gov","https://forms.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fpc.gov","fpc.gov","https://www.fpc.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"fpds.gov","fpds.gov","https://fpds.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
